ID_Carton;Num_1;Num_2;Num_3;Num_4;Num_5;Num_6;Num_7;Num_8;Num_9;Num_10
1;2;3;7;12;13;14;17;25;46;54
2;9;12;13;16;17;19;33;38;52;55
3;8;12;13;26;29;30;35;36;38;49
4;1;10;11;21;25;32;34;37;52;54
5;19;27;29;31;39;42;47;48;52;54
6;5;6;7;10;15;25;31;32;48;58
7;14;18;22;25;26;32;37;47;50;51
8;1;3;6;26;33;34;36;40;45;60
9;8;12;26;28;38;41;46;47;52;59
10;3;11;17;27;36;42;54;55;59;60
11;2;4;7;23;26;31;38;42;53;58
12;2;8;18;33;35;40;49;52;56;59
13;13;19;23;29;33;34;37;50;56;60
14;14;15;18;31;33;34;36;49;52;58
15;4;9;12;21;26;32;33;42;49;53
16;4;24;27;30;33;34;36;42;46;57
17;10;12;13;16;17;18;28;33;48;54
18;7;13;16;24;32;41;53;55;56;57
19;2;4;7;9;21;30;35;43;45;59
20;13;21;26;31;35;42;49;51;56;60
21;3;12;17;19;27;32;38;40;45;50
22;1;3;6;19;22;28;36;39;44;49
23;4;10;13;26;32;33;40;43;47;57
24;1;3;4;7;20;26;27;49;51;59
25;5;6;7;10;28;36;39;49;50;59
26;13;21;24;28;29;31;38;48;50;52
27;4;5;7;9;10;13;16;28;41;58
28;4;5;19;24;25;35;39;41;58;59
29;4;5;6;13;21;25;30;41;53;55
30;13;19;20;27;28;29;40;54;56;58
31;1;20;26;31;32;41;44;49;50;55
32;1;7;8;12;19;23;25;26;29;36
33;6;14;25;27;29;36;46;52;56;57
34;9;20;22;26;27;38;39;43;54;55
35;3;7;10;12;22;32;33;43;48;50
36;10;15;19;21;26;28;40;48;49;55
37;4;8;11;12;19;24;32;38;42;45
38;2;9;28;31;32;36;38;43;45;55
39;7;18;26;28;38;40;42;45;49;52
40;1;5;8;16;24;26;39;40;42;55
41;5;10;13;15;19;22;26;37;40;54
42;4;12;18;25;31;32;45;50;59;60
43;16;21;29;40;41;45;54;56;58;60
44;9;14;24;27;32;35;37;42;48;52
45;2;12;15;21;23;25;29;31;47;52
46;9;12;15;28;31;39;41;48;49;52
47;9;26;28;29;33;34;39;52;56;60
48;4;9;15;17;23;33;36;41;47;60
49;5;10;13;14;26;30;32;35;41;54
50;6;12;14;22;25;35;36;52;56;57
51;2;5;17;29;30;34;37;46;47;57
52;12;22;28;31;32;34;39;41;45;56
53;1;2;23;29;33;34;37;41;54;59
54;3;9;20;26;27;37;39;43;47;50
55;1;8;13;17;20;29;36;40;49;53
56;5;12;15;21;34;35;37;40;45;51
57;2;5;9;11;12;15;23;26;34;60
58;7;8;13;14;16;17;37;44;53;56
